                       2.5 %       97.5 %
(Intercept)    -1.188541e+01 7.873159e+00
Gender         -8.756762e-01 2.122380e+00
Age>=60        -9.140474e-01 1.253195e+00
BMI            -1.355341e-01 1.438002e-01
OP             -1.111834e+00 8.452974e-01
hs.TnT         -6.891448e-03 2.391358e-04
NT.proBNP      -4.541463e-05 5.256151e-04
CKMB           -1.070729e-01 4.041894e-02
肌红蛋白        4.859553e-04 3.194945e-03
ALB            -2.237565e-01 1.578930e-01
TB             -1.073013e-01 1.662248e-01
血肌酐          7.910955e-03 3.083831e-02
BUN            -2.360820e-01 4.389691e-02
Hb             -6.186417e-02 4.721440e-02
RBC            -1.654146e+00 1.431881e+00
PLT            -1.993972e-02 3.333491e-03
APTT           -3.473798e-02 1.888879e-02
PT             -5.584854e-01 1.107757e-01
FB             -4.745662e-01 2.075649e-01
D.D            -8.950402e-02 8.925479e-03
HBP            -7.034137e-01 1.409266e+00
DM             -2.301068e+00 1.714260e+00
CVA            -6.235044e+02 8.151493e+01
CVD            -5.775952e+02 5.779923e+01
CKD            -2.158490e+00 3.767883e+00
术前心包积液    6.801981e-01 2.889834e+00
Kidney         -4.270223e-01 1.607776e+00
Pr.LAC         -1.698647e-01 4.554028e-01
手术结束时乳酸  7.044448e-02 3.834850e-01
FFP.ml.        -2.362349e-03 1.746508e-03
AHF.u.         -2.131450e-01 2.385654e-01
血小板输注>1   -1.869921e-01 3.850464e+00
